main_name,plan_id,num_obs,objectname,ra_j2000,dec_j2000,epoch,airmass,shutter_ut_time_date,exptime,emavg,emnumsmp,snrem,decker,temp_chiron,pathfile,comments
12Oph,490,1,12Oph,16:36:23.10,-02:19:38.9,2000.0,1.229,2019-07-02T04:14:35.588,300.0,347.64,3000,133.72290393715747,fiber,22.036,/nfs/morgan/chiron/tous/mir7/fitspec/190701/achi190701.1163.fits,
171Pup,490,2,171Pup,07:45:34.05,-34:09:48.4,2000.0,1.007,2020-03-09T00:55:38.020,300.0,240.46,2995,110.94389735518801,fiber,23.548,/nfs/morgan/chiron/tous/mir7/fitspec/200308/achi200308.1124.fits,
 ,490, ,171Pup,07:45:35.13,-34:09:48.9,2000.0,1.052,2020-02-08T04:41:43.477,500.0,247.28,5001,145.6955364159706,fiber,23.272,/nfs/morgan/chiron/tous/mir7/fitspec/200207/achi200207.1146.fits,
18Sco,490,1,18Sco,16:15:38.08,-08:22:17.4,2000.0,1.100,2020-03-17T08:28:20.327,300.0,199.99,2995,101.07164456527487,fiber,23.402,/nfs/morgan/chiron/tous/mir7/fitspec/200316/achi200316.1164.fits,
20Oph,490,1,20Oph,16:49:51.16,-10:47:09.2,2000.0,1.133,2019-07-02T04:21:55.889,71.193,1200.93,712,120.98676377645815,fiber,22.036,/nfs/morgan/chiron/tous/mir7/fitspec/190701/achi190701.1165.fits,
2MA0201_0117A,546,22,2MA0201_0117A,02:01:47.81,01:17:08.1,2000.0,1.415,2021-09-21T04:29:51.270,1800.0,2.44,18001,25.112799455099605,fiber,22.883,/nfs/morgan/chiron/tous/mir7/fitspec/210920/achi210920.1145.fits,
 ,546, ,2MA0201_0117A,02:01:49.25,01:17:26.9,2000.0,1.529,2021-06-30T09:32:50.087,1000.0,2.35,10000,16.67298245008251,fiber,23.202,/nfs/morgan/chiron/tous/mir7/fitspec/210629/achi210629.1183.fits,
 ,546, ,2MA0201_0117A,02:01:47.79,01:17:06.4,2000.0,1.336,2021-09-20T04:55:20.814,1800.0,2.37,17999,24.674103007029576,fiber,22.974,/nfs/morgan/chiron/tous/mir7/fitspec/210919/achi210919.1146.fits,
 ,546, ,2MA0201_0117A,02:01:49.17,01:17:25.1,2000.0,1.444,2021-06-30T09:49:34.575,1000.0,2.32,10000,16.51689443860674,fiber,23.196,/nfs/morgan/chiron/tous/mir7/fitspec/210629/achi210629.1184.fits,
 ,546, ,2MA0201_0117A,02:01:48.21,01:17:10.8,2000.0,1.369,2021-09-25T04:25:44.780,1800.0,2.27,18001,24.03764201430544,fiber,23.022,/nfs/morgan/chiron/tous/mir7/fitspec/210924/achi210924.1147.fits,
 ,546, ,2MA0201_0117A,02:01:47.75,01:17:06.8,2000.0,1.367,2021-09-18T04:53:50.876,1800.0,2.43,18001,25.050832294686597,fiber,22.56,/nfs/morgan/chiron/tous/mir7/fitspec/210917/achi210917.1146.fits,
 ,546, ,2MA0201_0117A,02:01:48.00,01:17:09.0,2000.0,1.279,2021-09-25T04:55:49.263,1800.0,2.3,18001,24.230842475129016,fiber,23.022,/nfs/morgan/chiron/tous/mir7/fitspec/210924/achi210924.1148.fits,
 ,546, ,2MA0201_0117A,02:01:47.72,01:17:06.4,2000.0,1.328,2021-09-19T05:01:37.936,1800.0,2.25,18000,23.907161770329214,fiber,22.818,/nfs/morgan/chiron/tous/mir7/fitspec/210918/achi210918.1147.fits,
 ,546, ,2MA0201_0117A,02:01:47.64,01:17:05.4,2000.0,1.278,2021-09-18T05:23:55.367,1800.0,2.47,18001,25.297790218093468,fiber,22.568,/nfs/morgan/chiron/tous/mir7/fitspec/210917/achi210917.1147.fits,
 ,546, ,2MA0201_0117A,02:01:47.53,01:17:08.3,2000.0,1.310,2021-09-21T04:59:55.762,1800.0,2.52,18001,25.60313806931401,fiber,22.883,/nfs/morgan/chiron/tous/mir7/fitspec/210920/achi210920.1146.fits,
