RKS,comp,#,type,HIP,G2K,sample1,sample2,RA,DEC,map,sep,parallax,pmra,pmdec,Gmag,Bg-Rg,Bg,Rg,PA,DR2_ID,RA_RKS_DD,DEC_RKS_DD
RKS0000-1929,-,1,K*,HIP000002,G2K000001,33-40,eq,00:00:01.0,-19:29:55.7,......,........,25.121,163.520,-2.362,8.934,1.235,9.494,8.260,.....,2341871673090078592,0.004167,-19.498806
RKS0000-0403,-,1,K*,HIP000018,G2K000002,40-50,eq,00:00:12.7,-04:03:13.2,......,........,22.743,-119.595,24.291,10.441,1.588,11.206,9.618,.....,2447815287783063040,0.052917,-4.053667
RKS0000-5650,-,1,K*,HIP000047,,40-50,so,00:00:32.4,-56:50:08.1,......,........,22.160,-44.969,-145.359,10.283,1.428,10.952,9.524,.....,4922510057156118400,0.135000,-56.835583
RKS0000+1829,-,1,K*,,G2K000003,33-40,eq,00:00:39.3,+18:29:19.8,......,........,29.726,334.563,196.005,10.412,1.698,11.244,9.547,.....,2774087391866252928,0.163750,18.488833
RKS0000-6940,-,1,K*,HIP000057,,00-33,so,00:00:40.3,-69:40:33.4,......,........,34.085,-40.569,-67.540,8.014,1.043,8.477,7.434,.....,4703237305086965376,0.167917,-69.675944
RKS0000+1659,A,2,K*,HIP000068,G2K000004,00-33,eq,00:00:48.1,+16:59:17.2,AB,0.7014,33.161,-52.696,-307.114,8.520,1.207,9.024,7.817,345.0,2772904691015625984,0.200417,16.988111
RKS0000+1659,B,-,..,,,00-33,eq,00:00:48.1,+16:59:17.2,AB,0.7014,33.161,-52.696,-307.114,NaN,NaN,NaN,NaN,345.0,,0.200417,16.988111
RKS0000+3545,-,1,K*,HIP000074,,40-50,no,00:00:53.4,+35:45:09.4,......,........,23.749,158.791,-41.084,9.604,1.292,10.202,8.910,.....,2877050883371424768,0.222500,35.752611
RKS0001-2326,-,1,K*,,G2K000005,00-33,eq,00:01:04.2,-23:26:25.2,......,........,30.135,67.224,-168.003,9.040,1.273,9.628,8.354,.....,2339837370419833216,0.267500,-23.440333
RKS0001+1358,B:,-,K*,HIP000096+,G2K000006,33-40,eq,00:01:12.9,+13:58:19.6,AC-B,........,27.768,26.368,149.523,10.447,1.835,11.365,9.530,.....,2767384425386994048,0.303750,13.972111
RKS0001+1358,C:,-,..,,,40-50,eq,00:01:13.2,+13:58:30.1,AC,0.2404,23.246,26.070,160.186,NaN,NaN,NaN,NaN,181.4,,0.305000,13.975028
RKS0001+1358,A:,3,K*,HIP000096,G2K000007,40-50,eq,00:01:13.2,+13:58:30.1,AC,0.2404,23.246,26.070,160.186,9.872,1.741,10.722,8.980,181.4,2767387380324493184,0.305000,13.975028
RKS0001+3416,-,1,K*,HIP000111,,33-40,no,00:01:24.0,+34:16:54.6,......,........,26.212,254.856,-5.113,10.650,1.775,11.530,9.755,.....,2875223318951119744,0.350000,34.281833
RKS0001-1656,-,1,K*,HIP000112,G2K000008,00-33,eq,00:01:25.8,-16:56:54.3,......,........,31.965,293.789,-253.769,10.092,1.817,11.003,9.187,.....,2414870582223963904,0.357500,-16.948417
RKS0001+2127,-,1,K*,HIP000143,G2K000009,40-50,eq,00:01:49.4,+21:27:45.0,......,........,21.606,175.345,147.296,9.977,1.250,10.546,9.295,.....,2846749201903437184,0.455833,21.462500
RKS0002-6816,-,1,K*,HIP000169,,00-33,so,00:02:08.7,-68:16:50.7,......,........,65.808,216.425,-226.585,8.915,1.740,9.775,8.035,.....,4706564427272810624,0.536250,-68.280750
RKS0002-5334,-,1,K*,,,40-50,so,00:02:16.5,-53:34:47.9,......,........,20.672,12.746,-122.571,10.989,1.654,11.795,10.140,.....,4972058071193814656,0.568750,-53.579972
RKS0002+6030,-,1,K*,,,33-40,no,00:02:18.0,+60:30:21.5,......,........,26.105,-71.539,-98.380,9.357,1.191,9.896,8.705,.....,429335036979069184,0.575000,60.505972
RKS0002+1100,-,1,K*,HIP000184,G2K000010,33-40,eq,00:02:21.5,+11:00:22.4,......,........,29.524,-4.948,-42.711,8.239,1.043,8.701,7.658,.....,2765462891378117504,0.589583,11.006222
RKS0003+1655,-,1,K*,,G2K000011,40-50,eq,00:03:00.4,+16:55:45.5,......,........,21.037,117.032,33.081,10.704,1.539,11.443,9.904,.....,2772868273988854656,0.751667,16.929306
RKS0003-7533,-,1,K*,,,40-50,so,00:03:18.5,-75:33:21.0,......,........,23.005,303.214,23.696,11.085,1.745,11.947,10.203,.....,4685223799931222016,0.827083,-75.555833
RKS0004-5719,-,1,K*,HIP000350,,40-50,so,00:04:23.8,-57:19:21.7,......,........,20.636,-39.659,73.344,10.006,1.351,10.635,9.284,.....,4919444962335220224,1.099167,-57.322694
RKS0004-4704,-,1,K*,HIP000351,,40-50,so,00:04:24.9,-47:04:04.9,......,........,20.868,292.563,35.608,9.550,1.066,10.018,8.953,.....,4990101400602203904,1.103750,-47.068028
RKS0004-3717,-,1,K*,,,40-50,so,00:04:55.9,-37:17:53.5,......,........,20.977,95.076,-50.992,9.667,1.208,10.214,9.006,.....,2307716993640206464,1.232917,-37.298194
RKS0005-6749,-,1,K*,HIP000436,,00-33,so,00:05:17.7,-67:49:57.3,......,........,61.031,-116.675,-560.436,8.084,1.348,8.715,7.367,.....,4706630501049679744,1.323750,-67.832583
RKS0005-0754,-,1,K*,,G2K000012,40-50,eq,00:05:39.6,-07:54:12.9,......,........,20.785,-30.398,9.401,9.326,1.109,9.803,8.694,.....,2441547040712531968,1.415000,-7.903583
RKS0005+4548,B,-,K*,HIP000473+,,00-33,no,00:05:41.0,+45:48:37.3,......,6.036,86.940,845.890,-148.540,8.301,1.881,9.245,7.365,188.4,386653747924807424,1.420833,45.810361
RKS0005+4548,A,2,K*,HIP000473,,00-33,no,00:05:41.0,+45:48:43.5,......,6.036,86.873,888.615,-162.470,8.248,1.856,9.177,7.321,188.4,386653851004022144,1.420833,45.812083
RKS0005+5630,-,1,K*,,,33-40,no,00:05:50.4,+56:30:00.8,......,........,27.536,28.161,40.623,8.772,1.164,9.296,8.132,.....,420998849050618240,1.460000,56.500222
RKS0005+1804,A,2,K*,HIP000495,G2K000013,33-40,eq,00:05:55.5,+18:04:33.1,......,3.408,26.537,-147.614,-145.798,8.937,1.102,9.425,8.323,134.9,2773086595766697856,1.481250,18.075861
RKS0005+1804,B,-,K*,HIP000495+,G2K000014,33-40,eq,00:05:55.7,+18:04:30.8,......,3.408,26.542,-154.409,-150.572,9.183,1.177,9.708,8.531,134.9,2773086595766697984,1.482083,18.075222
RKS0006-5933,-,1,K*,,,40-50,so,00:06:26.8,-59:33:46.4,......,........,24.291,56.866,-17.282,10.000,1.431,10.671,9.240,.....,4917991163149469696,1.611667,-59.562889
RKS0007-2349,-,1,K*,HIP000616,G2K000015,00-33,eq,00:07:32.5,-23:49:07.3,......,........,30.564,320.793,91.219,8.473,1.006,8.913,7.908,.....,2336728947968831104,1.885417,-23.818694
RKS0008+6627,-,1,K*,HIP000723,,33-40,no,00:08:57.2,+66:27:23.9,......,........,27.472,177.747,4.369,8.376,1.063,8.852,7.789,.....,528378632083865856,2.238333,66.456639
RKS0008-2507,-,1,K*,,G2K000016,40-50,eq,00:08:59.6,-25:07:16.9,......,........,21.836,550.707,-16.137,11.279,1.777,12.160,10.383,.....,2336386003420150016,2.248333,-25.121361
